order_id,listed_price,date_listed,total_mercari_fees
m31704817181,50.00,null,6.75
m60537926482,10.00,null,1.59
m40975383771,15.00,null,2.24
m12918597674,22.00,2022-01-18,3.14
m59193185285,40.00,2022-01-18,5.46
m34596089886,12.00,2021-10-01,1.85
m88240353974,18.00,2021-05-01,2.62
m14572826187,13.00,2022-05-01,1.98
m88562470420,13.00,2022-05-01,1.98
m70727603583,112.00,2022-03-30,14.75
m80760236830,5.00,2022-05-25,0.95
m69938070605,4.00,2022-05-25,0.82
m50757469548,32.00,2022-05-25,4.43
m17012611762,157.00,null,20.55
m97679674303,12.00,null,1.85
m91417266391,20.00,null,2.88
m41912820804,9.00,null,1.46
m79016540080,14.00,null,2.11
m49499545332,14.00,null,4.08
